date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:32	14647/14647	---M-Z	200	added ('OK')	text/css	etag:%223937-54f6ea0e5d70c-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/divi_extended_column_layouts/style.css?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/divi_extended_column_layouts/style37cb.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:33	97184/97184	---M-Z	200	added ('OK')	application/javascript	etag:%2217ba0-54f90e7f4f161-gzip%22	https://oaksterdamuniversity.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-includes/js/jquery/jqueryb8ff.js	(from https://oaksterdamuniversity.com/anniversary/)
08:39:33	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:%222748-54f90e7f629d8-gzip%22	https://oaksterdamuniversity.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://oaksterdamuniversity.com/anniversary/)
08:39:33	1472/1472	---M-Z	200	added ('OK')	application/javascript	etag:%225c0-54fa7fbf7c881-gzip%22	https://oaksterdamuniversity.com/wp-content/plugins/simple-download-monitor/js/sdm_wp_scripts.js?ver=4.9.7	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/plugins/simple-download-monitor/js/sdm_wp_scripts37cb.js	(from https://oaksterdamuniversity.com/anniversary/)
08:39:33	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/10%20nam%20ra%20truong/www.google-analytics.com/analytics.js	(from https://oaksterdamuniversity.com/anniversary/)
08:39:34	23881/23881	---M-Z	200	added ('OK')	text/css	etag:%225d49-570c22e9232d3-gzip%22	https://oaksterdamuniversity.com/wp-content/cache/et/global/et-divi-customizer-global-15313541887399.min.css	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/cache/et/global/et-divi-customizer-global-15313541887399.min.css	(from https://oaksterdamuniversity.com/anniversary/)
08:39:50	106187/106187	---M--	200	added ('OK')	image/png	etag:%2219ecb-559cc6c1e4bc3%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/09/Anniversary-logo-drop-shadow-e1506109405681.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/09/Anniversary-logo-drop-shadow-e1506109405681.png	(from https://oaksterdamuniversity.com/anniversary/)
08:40:20	268194/268194	---M--	200	added ('OK')	image/png	etag:%22417a2-54f6e9fd625c8%22	http://oaksterdamuniversity.com/wp-content/uploads/2015/12/Certification-icon.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2015/12/Certification-icon.png	(from https://oaksterdamuniversity.com/anniversary/)
08:40:49	177914/177914	---M--	200	added ('OK')	image/png	etag:%222b6fa-55bee6e08bbf8%22	https://oaksterdamuniversity.com/wp-content/uploads/2017/10/fork-knife.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/10/fork-knife.png	(from https://oaksterdamuniversity.com/anniversary/)
08:40:50	378038/378038	---M--	200	added ('OK')	image/png	etag:%225c4b6-556bc56755156%22	http://oaksterdamuniversity.com/wp-content/uploads/2017/08/cannabis-trophy.png	C:/My%20Web%20Sites/10%20nam%20ra%20truong/oaksterdamuniversity.com/wp-content/uploads/2017/08/cannabis-trophy.png	(from https://oaksterdamuniversity.com/anniversary/)
